Year,Film,Director(s),Producer(s),Country,Won
1990(44th),Goodfellas,Martin Scorsese,"Robert Chartoff, Irwin Winkler",United States,TRUE
1990(44th),Crimes and Misdemeanors,Woody Allen,Robert Greenhut,United States,FALSE
1990(44th),Driving Miss Daisy,Bruce Beresford,"Lili Fini Zanuck, Richard D. Zanuck",,FALSE
1990(44th),Pretty Woman,Garry Marshall,"Arnon Milchan, Steven Reuther",,FALSE
1991(45th),The Commitments,Alan Parker,"Lynda Myles, Roger Randall-Cutler",Ireland United Kingdom,TRUE
1991(45th),Dances with Wolves,Kevin Costner,"Kevin Costner, Jim Wilson",United States,FALSE
1991(45th),The Silence of the Lambs,Jonathan Demme,"Ron Bozman, Edward Saxon, Kenneth Utt",,FALSE
1991(45th),Thelma & Louise,Ridley Scott,Mimi Polk Gitlin,,FALSE
1992(46th),Howards End,James Ivory,Ismail Merchant,United Kingdom,TRUE
1992(46th),The Crying Game,Neil Jordan,Stephen Woolley,United Kingdom Ireland,FALSE
1992(46th),The Player,Robert Altman,"David Brown, Michael Tolkin, Nick Wechsler",United States,FALSE
1992(46th),Strictly Ballroom,Baz Luhrmann,Tristram Miall,Australia,FALSE
1992(46th),Unforgiven,Clint Eastwood,Clint Eastwood,United States,FALSE
1993(47th),Schindler's List,Steven Spielberg,"Branko Lustig, Gerald R. Molen, Steven Spielberg",United States,TRUE
1993(47th),The Piano,Jane Campion,Jan Chapman,New Zealand Australia,FALSE
1993(47th),The Remains of the Day,James Ivory,"John Calley, Ismail Merchant, Mike Nichols, James Ivory",United Kingdom United States,FALSE
1993(47th),Shadowlands,Richard Attenborough,"Richard Attenborough, Brian Eastman",United Kingdom,FALSE
1994(48th),Four Weddings and a Funeral,Mike Newell,Duncan Kenworthy,United Kingdom,TRUE
1994(48th),Forrest Gump,Robert Zemeckis,"Wendy Finerman, Steve Starkey, Steve Tisch",United States,FALSE
1994(48th),Pulp Fiction,Quentin Tarantino,Lawrence Bender,,FALSE
1994(48th),Quiz Show,Robert Redford,"Michael Jacobs, Julian Krainin, Michael Nozik",,FALSE
1995(49th),Sense and Sensibility,Ang Lee,Lindsay Doran,United Kingdom,TRUE
1995(49th),Babe,Chris Noonan,"Bill Miller, George Miller, Doug Mitchell",Australia United States,FALSE
1995(49th),The Madness of King George,Nicholas Hytner,"Stephen Evans, David Parfitt",United Kingdom,FALSE
1995(49th),The Usual Suspects,Bryan Singer,Michael McDonnell,United States,FALSE
1996(50th),The English Patient,Anthony Minghella,Saul Zaentz,United States,TRUE
1996(50th),Fargo,Joel Coen,Ethan Coen,United States,FALSE
1996(50th),Secrets & Lies,Mike Leigh,Simon Channing-Williams,United Kingdom,FALSE
1996(50th),Shine,Scott Hicks,Jane Scott,Australia,FALSE
1997(51st),The Full Monty,Peter Cattaneo,Uberto Pasolini,United Kingdom,TRUE
1997(51st),L.A. Confidential,Curtis Hanson,"Curtis Hanson, Arnon MilchanMichael Nathanson",United States,FALSE
1997(51st),Mrs Brown,John Madden,Sarah Curtis,United Kingdom,FALSE
1997(51st),Titanic,James Cameron,"James Cameron, Jon Landau",United States,FALSE
1998(52nd),Shakespeare in Love,John Madden,"Donna Gigliotti, Marc Norman, David Parfitt, Harvey Weinstein, Edward Zwick",United States,TRUE
1998(52nd),Elizabeth,Shekhar Kapur,"Tim Bevan, Eric Fellner, Alison Owen",United Kingdom,FALSE
1998(52nd),Saving Private Ryan,Steven Spielberg,"Ian Bryce, Mark Gordon, Gary Levinsohn, Steven Spielberg",United States,FALSE
1998(52nd),The Truman Show,Peter Weir,"Edward S. Feldman, Andrew Niccol, Scott Rudin, Adam Schroeder",,FALSE
1999(53rd)[4],American Beauty,Sam Mendes,"Bruce Cohen, Dan Jinks",United States,TRUE
1999(53rd)[4],East is East,Damien O'Donnell,Leslee Udwin,United Kingdom,FALSE
1999(53rd)[4],The End of the Affair,Neil Jordan,"Neil Jordan, Stephen Woolley",United Kingdom United States,FALSE
1999(53rd)[4],The Sixth Sense,M. Night Shyamalan,"Frank Marshall, Kathleen Kennedy, Barry Mendel",United States,FALSE
1999(53rd)[4],The Talented Mr. Ripley,Anthony Minghella,"William Horberg, Tom Sternberg",,FALSE
