Year,Film,Director(s),Producer(s),Country,Won
2010(64th)[16],The King's Speech,Tom Hooper,"Iain Canning, Emile Sherman, Gareth Unwin",United Kingdom Australia,TRUE
2010(64th)[16],Black Swan,Darren Aronofsky,"Darren Aronofsky, Scott Franklin, Mike Medavoy, Arnold Messer, Brian Oliver",United States,FALSE
2010(64th)[16],Inception,Christopher Nolan,"Christopher Nolan, Emma Thomas",United Kingdom,FALSE
2010(64th)[16],The Social Network,David Fincher,"David Fincher, Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin, Kevin Spacey",United States,FALSE
2010(64th)[16],True Grit,Joel and Ethan Coen,"Joel and Ethan Coen, Scott Rudin",,FALSE
2011(65th)[17],The Artist,Michel Hazanavicius,Thomas Langmann,France,TRUE
2011(65th)[17],The Descendants,Alexander Payne,"Alexander Payne, Jim Taylor, Jim Burke",United States,FALSE
2011(65th)[17],Drive,Nicolas Winding Refn,"Adam Siegel, Marc Platt",,FALSE
2011(65th)[17],The Help,Tate Taylor,"Brunson Green, Chris Columbus, Michael Barnathan",,FALSE
2011(65th)[17],Tinker Tailor Soldier Spy,Tomas Alfredson,"Tim Bevan, Robyn Slovo, Eric Fellner",,FALSE
2012(66th)[18],Argo,Ben Affleck,"Grant Heslov, Ben Affleck, George Clooney",United States,TRUE
2012(66th)[18],Les Misérables,Tom Hooper,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh",United Kingdom,FALSE
2012(66th)[18],Life of Pi,Ang Lee,"Gil Netter, Ang Lee, David Womark",United StatesCanada,FALSE
2012(66th)[18],Lincoln,Steven Spielberg,"Steven Spielberg, Kathleen Kennedy",United States,FALSE
2012(66th)[18],Zero Dark Thirty,Kathryn Bigelow,"Mark Boal, Kathryn Bigelow, Megan Ellison",,FALSE
2013(67th)[19],12 Years a Slave,Steve McQueen,"Brad Pitt, Anthony Katagas, Dede Gardner, Jeremy Kleiner, Steve McQueen",United States United Kingdom,TRUE
2013(67th)[19],American Hustle,David O. Russell,"Charles Roven, Richard Suckle, Megan Ellison, Jonathan Gordon",United States,FALSE
2013(67th)[19],Captain Phillips,Paul Greengrass,"Scott Rudin, Dana Brunetti, Michael De Luca",,FALSE
2013(67th)[19],Gravity,Alfonso Cuarón,"Alfonso Cuarón, David Heyman",United StatesUnited Kingdom,FALSE
2013(67th)[19],Philomena,Stephen Frears,"Gabrielle Tana, Steve Coogan, Tracey Seaward",United Kingdom,FALSE
