Year,Film,Director(s),Producer(s),Country,Won
2014(68th)[20],Boyhood,Richard Linklater,"Richard Linklater, Cathleen Sutherland",United States,TRUE
2014(68th)[20],Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",United States,FALSE
2014(68th)[20],The Grand Budapest Hotel,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",,FALSE
2014(68th)[20],The Imitation Game,Morten Tyldum,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman",,FALSE
2014(68th)[20],The Theory of Everything,James Marsh,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten",United Kingdom,FALSE
2015(69th)[21],The Revenant,Alejandro G. Iñárritu,"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon",United States,TRUE
2015(69th)[21],The Big Short,Adam McKay,"Dede Gardner, Jeremy Kleiner, Brad Pitt",United States,FALSE
2015(69th)[21],Bridge of Spies,Steven Spielberg,"Kristie Macosko Krieger, Marc Platt, Steven Spielberg",,FALSE
2015(69th)[21],Carol,Todd Haynes,"Elizabeth Karlsen, Christine Vachon, Stephen Woolley",United Kingdom United States,FALSE
2015(69th)[21],Spotlight,Tom McCarthy,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar",United States,FALSE
2016(70th)[22],La La Land,Damien Chazelle,"Fred Berger, Jordan Horowitz, Marc Platt",United States,TRUE
2016(70th)[22],Arrival,Denis Villeneuve,"Dan Levine, Shawn Levy, David Linde, Aaron Ryder",United States,FALSE
2016(70th)[22],"I, Daniel Blake",Ken Loach,Rebecca O'Brien,United Kingdom,FALSE
2016(70th)[22],Manchester by the Sea,Kenneth Lonergan,"Lauren Beck, Matt Damon, Chris Moore, Kimberly Steward, Kevin J. Walsh",United States,FALSE
2016(70th)[22],Moonlight,Barry Jenkins,"Dede Gardner, Jeremy Kleiner, Adele Romanski",,FALSE
2017(71st)[23],"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Graham Broadbent, Pete Czernin, Martin McDonagh",United States United Kingdom,TRUE
2017(71st)[23],Call Me by Your Name,Luca Guadagnino,"Emilie Georges, Luca Guadagnino, Marco Morabito, Peter Spears",Italy United States France,FALSE
2017(71st)[23],Darkest Hour,Joe Wright,"Tim Bevan, Lisa Bruce, Eric Fellner, Anthony McCarten, Douglas Urbanski",United Kingdom,FALSE
2017(71st)[23],Dunkirk,Christopher Nolan,"Christopher Nolan, Emma Thomas",United Kingdom United States,FALSE
2017(71st)[23],The Shape of Water,Guillermo del Toro,"Guillermo del Toro, J. Miles Dale",United States,FALSE
2018(72nd)[24],Roma,Alfonso Cuarón,"Alfonso Cuarón, Gabriela Rodriguez, Nicolas Celis",Mexico,TRUE
2018(72nd)[24],BlacKkKlansman,Spike Lee,"Jason Blum, Spike Lee, Raymond Mansfield, Sean McKittrick, Jordan Peele, Shaun Redick",United States,FALSE
2018(72nd)[24],The Favourite,Yorgos Lanthimos,"Cecil Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos",United Kingdom United States,FALSE
2018(72nd)[24],Green Book,Peter Farrelly,"Jim Burke, Brian Hayes Currie,  Peter Farrelly, Nick Vallelonga, Charles B. Wessler",United States,FALSE
2018(72nd)[24],A Star Is Born,Bradley Cooper,"Bill Gerber, Lynette Howell Taylor",,FALSE
2019(73rd)[25],1917,Sam Mendes,"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",United Kingdom United States,TRUE
2019(73rd)[25],The Irishman,Martin Scorsese,"Robert De Niro, Jane Rosenthal, Martin Scorsese, Emma Tillinger Koskoff",United States,FALSE
2019(73rd)[25],Joker,Todd Phillips,"Bradley Cooper, Todd Phillips, Emma Tillinger Koskoff",,FALSE
2019(73rd)[25],Once Upon a Time in Hollywood,Quentin Tarantino,"David Heyman, Shannon McIntosh, Quentin Tarantino",United States United Kingdom,FALSE
2019(73rd)[25],Parasite,Bong Joon-ho,"Bong Joon-ho, Kwak Sin-ae",South Korea,FALSE
