Year,Film,Director(s),Producer(s),Country,Won
1980(34th),The Elephant Man,David Lynch,Jonathan Sanger,United States,TRUE
1980(34th),Being There,Hal Ashby,Andrew Braunsberg,United States,FALSE
1980(34th),Kagemusha,Akira Kurosawa,Akira Kurosawa,Japan,FALSE
1980(34th),Kramer vs. Kramer,Robert Benton,Stanley R. Jaffe,United States,FALSE
1981(35th),Chariots of Fire,Hugh Hudson,David Puttnam,United Kingdom,TRUE
1981(35th),Atlantic City,Louis Malle,"Denis Héroux, John Kemeny",France Canada United States,FALSE
1981(35th),The French Lieutenant's Woman,Karel Reisz,Leon Clore,United Kingdom,FALSE
1981(35th),Gregory's Girl,Bill Forsyth,"Davina Belling, Clive Parsons",,FALSE
1981(35th),Raiders of the Lost Ark,Steven Spielberg,Frank Marshall,United States,FALSE
1982(36th),Gandhi,Richard Attenborough,Richard Attenborough,United Kingdom India,TRUE
1982(36th),E.T. the Extra-Terrestrial,Steven Spielberg,"Kathleen Kennedy, Steven Spielberg",United States,FALSE
1982(36th),Missing,Costa Gavras,"Edward Lewis, Mildred Lewis",,FALSE
1982(36th),On Golden Pond,Mark Rydell,Bruce Gilbert,,FALSE
1983(37th),Educating Rita,Lewis Gilbert,Lewis Gilbert,United Kingdom,TRUE
1983(37th),Heat and Dust,James Ivory,Ismail Merchant,United Kingdom,FALSE
1983(37th),Local Hero,Bill Forsyth,David Puttnam,,FALSE
1983(37th),Tootsie,Sydney Pollack,"Sydney Pollack, Dick Richards",United States,FALSE
1984(38th),The Killing Fields,Roland Joffé,David Puttnam,United Kingdom,TRUE
1984(38th),The Dresser,Peter Yates,"Ronald Harwood, Peter Yates",United Kingdom,FALSE
1984(38th),"Paris, Texas",Wim Wenders,"Anatole Dauman, Don Guest",West Germany France,FALSE
1984(38th),A Private Function,Malcolm Mowbray,Mark Shivas,United Kingdom,FALSE
1985(39th),The Purple Rose of Cairo,Woody Allen,"Robert Greenhut, Woody Allen",United States,TRUE
1985(39th),Amadeus,Miloš Forman,"Saul Zaentz, Miloš Forman",United States,FALSE
1985(39th),Back to the Future,Robert Zemeckis,"Neil Canton, Bob Gale, Robert Zemeckis",,FALSE
1985(39th),A Passage to India,David Lean,"John Brabourne, Richard B. Goodwin, >David Lean",United Kingdom,FALSE
1985(39th),Witness,Peter Weir,"Edward S. Feldman, Peter Weir",United States,FALSE
1986(40th),A Room with a View,James Ivory,"Ismail Merchant, James Ivory",United Kingdom,TRUE
1986(40th),Hannah and Her Sisters,Woody Allen,"Robert Greenhut, Woody Allen",United States,FALSE
1986(40th),The Mission,Roland Joffé,"Fernando Ghia, David Puttnam, Roland Joffé",United Kingdom,FALSE
1986(40th),Mona Lisa,Neil Jordan,"Patrick Cassavetti, Stephen Woolley, Neil Jordan",,FALSE
1987(41st),Jean de Florette,Claude Berri,Claude Berri,FranceSwitzerland Italy,TRUE
1987(41st),Cry Freedom,Richard Attenborough,Richard Attenborough,United Kingdom,FALSE
1987(41st),Hope and Glory,John Boorman,John Boorman,,FALSE
1987(41st),Radio Days,Woody Allen,Robert Greenhut,United States,FALSE
1988(42nd),The Last Emperor,Bernardo Bertolucci,"Jeremy Thomas, Bernardo Bertolucci",United Kingdom ItalyChina,TRUE
1988(42nd),Au revoir les enfants,Louis Malle,Louis Malle,FranceWest Germany,FALSE
1988(42nd),Babette's Feast,Gabriel Axel,"Just Betzer, Bo Christensen",Denmark,FALSE
1988(42nd),A Fish Called Wanda,Charles Crichton,Michael Shamberg,United Kingdom United States,FALSE
1989(43rd),Dead Poets Society,Peter Weir,"Steven Haft, Paul Junger Witt, Tony Thomas",United States,TRUE
1989(43rd),My Left Foot,Jim Sheridan,Noel Pearson,Ireland,FALSE
1989(43rd),Shirley Valentine,Lewis Gilbert,Lewis Gilbert,United Kingdom,FALSE
1989(43rd),When Harry Met Sally...,Rob Reiner,"Rob Reiner, Andrew Scheinman",United States,FALSE
