Year,Film,Director(s),Producer(s),Country,Won
1970(24th),Butch Cassidy and the Sundance Kid,George Roy Hill,John Foreman,United States,TRUE
1970(24th),Kes,Kenneth Loach,Tony Garnett,United Kingdom,FALSE
1970(24th),M*A*S*H,Robert Altman,Ingo Preminger,United States,FALSE
1970(24th),Ryan's Daughter,David Lean,Anthony Havelock-Allan,United Kingdom,FALSE
1971(25th),Sunday Bloody Sunday,John Schlesinger,Joseph Janni,United Kingdom,TRUE
1971(25th),The Go-Between,Joseph Losey,John HeymanDenis JohnsonNorman Priggen,United Kingdom,FALSE
1971(25th),Death in Venice,Luchino Visconti,Luchino Visconti,Italy France,FALSE
1971(25th),Taking Off,Miloš Forman,Alfred W. Crown,United States,FALSE
1972(26th),Cabaret,Bob Fosse,Cy Feuer,United States,TRUE
1972(26th),A Clockwork Orange,Stanley Kubrick,Stanley Kubrick,United Kingdom,FALSE
1972(26th),The French Connection,William Friedkin,Philip D'Antoni,United States,FALSE
1972(26th),The Last Picture Show,Peter Bogdanovich,Stephen J. Friedman,,FALSE
1973(27th),Day for Night,François Truffaut,Marcel Berbert,France,TRUE
1973(27th),The Day of the Jackal,Fred Zinnemann,John Woolf,United Kingdom France,FALSE
1973(27th),The Discreet Charm of the Bourgeoisie,Luis Buñuel,Serge Silberman,France ItalySpain,FALSE
1973(27th),Don't Look Now,Nicolas Roeg,Peter Katz,United Kingdom Italy,FALSE
1974(28th),"Lacombe, Lucien",Louis Malle,"Louis Malle, Claude Nedjar",France West Germany Italy,TRUE
1974(28th),Chinatown,Roman Polanski,Robert Evans,United States,FALSE
1974(28th),The Last Detail,Hal Ashby,Gerald Ayres,,FALSE
1974(28th),Murder on the Orient Express,Sidney Lumet,John BrabourneRichard B. Goodwin,United Kingdom,FALSE
1975(29th),Alice Doesn't Live Here Anymore,Martin Scorsese,"Audrey Maas, David Susskind",United States,TRUE
1975(29th),Barry Lyndon,Stanley Kubrick,Stanley Kubrick,United Kingdom,FALSE
1975(29th),Dog Day Afternoon,Sidney Lumet,Martin BregmanMartin Elfand,United States,FALSE
1975(29th),Jaws,Steven Spielberg,David BrownRichard D. Zanuck,,FALSE
1976(30th),One Flew Over the Cuckoo's Nest,Miloš Forman,"Michael Douglas, Saul Zaentz",United States,TRUE
1976(30th),All the President's Men,Alan J. Pakula,Walter Coblenz,United States,FALSE
1976(30th),Bugsy Malone,Alan Parker,Alan Marshall,United Kingdom,FALSE
1976(30th),Taxi Driver,Martin Scorsese,"Julia Phillips, Michael Phillips",United States,FALSE
1977(31st),Annie Hall,Woody Allen,"Charles H. Joffe, Jack Rollins",United States,TRUE
1977(31st),A Bridge Too Far,Richard Attenborough,"Joseph E. Levine, Richard P. Levine",United Kingdom United States,FALSE
1977(31st),Network,Sidney Lumet,Howard Gottfried,United States,FALSE
1977(31st),Rocky,John G. Avildsen,"Robert Chartoff, Irwin Winkler",,FALSE
1978(32nd),Julia,Fred Zinnemann,Richard Roth,United States,TRUE
1978(32nd),Close Encounters of the Third Kind,Steven Spielberg,"Julia Phillips, Michael Phillips",United States,FALSE
1978(32nd),Midnight Express,Alan Parker,"Alan Marshall, David Puttnam",United Kingdom,FALSE
1978(32nd),Star Wars,George Lucas,Gary Kurtz,United States,FALSE
1979(33rd),Manhattan,Woody Allen,Charles H. Joffe,United States,TRUE
1979(33rd),Apocalypse Now,Francis Coppola,Francis Coppola,United States,FALSE
1979(33rd),The China Syndrome,James Bridges,Michael Douglas,,FALSE
1979(33rd),The Deer Hunter,Michael Cimino,"Michael Cimino, Michael Deeley, John Peverall, Barry Spikings",,FALSE
