Year,Film,Director(s),Producer(s),Country,Won
1961(15th),The Sundowners,Fred Zinnemann,Gerry Blatner,United Kingdom,FALSE
1961(15th),A Taste of Honey,Tony Richardson,Tony Richardson,,FALSE
1961(15th),The Hole,Jacques Becker,Serge Silberman,France,FALSE
1961(15th),Whistle Down the Wind,Bryan Forbes,Richard Attenborough,United Kingdom,FALSE
1962(16th),Lawrence of Arabia,David Lean,Sam Spiegel,United Kingdom,TRUE
1962(16th),Last Year at Marienbad,Alain Resnais,"Pierre Courau, Raymond Froment",France Italy,FALSE
1962(16th),Billy Budd,Peter Ustinov,Peter Ustinov,United Kingdom,FALSE
1962(16th),The Elusive Corporal,Jean Renoir,"Adry De Carbuccia, Roland Girard",France,FALSE
1962(16th),The Lady with the Dog,Iosif Kheifits,,Soviet Union,FALSE
1962(16th),The Naked Island,Kaneto Shindō,"Kaneto Shindo, Matsuura Eisaku",Japan,FALSE
1962(16th),Jules and Jim (Jules et Jim),François Truffaut,"Marcel Berbert, François Truffaut",France,FALSE
1962(16th),A Kind of Loving,John Schlesinger,Joseph Janni,United Kingdom,FALSE
1962(16th),The L-Shaped Room,Bryan Forbes,"Richard Attenborough, James Woolf",,FALSE
1962(16th),Lola,Jacques Demy,"Georges de Beauregard, Carlo Ponti",France Italy,FALSE
1962(16th),The Manchurian Candidate,John Frankenheimer,"George Axelrod, John Frankenheimer",United States,FALSE
1962(16th),The Miracle Worker,Arthur Penn,Fred Coe,,FALSE
1962(16th),Only Two Can Play,Sidney Gilliat,Leslie Gilliat,United Kingdom,FALSE
1962(16th),Phaedra,Jules Dassin,Jules Dassin,Greece United States,FALSE
1962(16th),Through a Glass Darkly,Ingmar Bergman,Allan Ekelund,Sweden,FALSE
1962(16th),Thou Shalt Not Kill ,Claude Autant-Lara,Moris Ergas,FranceYugoslavia,FALSE
1962(16th),The Long Absence,Henri Colpi,"Alberto Barsanti, Claude Jaeger, Jacques Nahum",France  Italy,FALSE
1962(16th),West Side Story,"Jerome Robbins, Robert Wise",Robert Wise,United States,FALSE
1963(17th),Tom Jones,Tony Richardson,Tony Richardson,United Kingdom,TRUE
1963(17th),8½,Federico Fellini,Angelo Rizzoli,Italy,FALSE
1963(17th),Billy Liar,John Schlesinger,Joseph Janni,United Kingdom,FALSE
1963(17th),David and Lisa,Frank Perry,Paul M. Heller,United States,FALSE
1963(17th),Days of Wine and Roses,Blake Edwards,Martin Manulis,,FALSE
1963(17th),Divorce Italian Style,Pietro Germi,Franco Cristaldi,Italy,FALSE
1963(17th),Hud,Martin Ritt,"Irving Ravetch, Martin Ritt",United States,FALSE
1963(17th),Knife in the Water,Roman Polanski,Stanislaw Zylewicz,Poland,FALSE
1963(17th),The Four Days of Naples,Nanni Loy,Goffredo Lombardo,Italy,FALSE
1963(17th),The Servant,Joseph Losey,"Joseph Losey, Norman Priggen",United Kingdom,FALSE
1963(17th),This Sporting Life,Lindsay Anderson,Karel Reisz,,FALSE
1963(17th),To Kill a Mockingbird,Robert Mulligan,Alan J. Pakula,United States,FALSE
1964(18th),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Stanley Kubrick,United Kingdom United States,TRUE
1964(18th),Becket,Peter Glenville,Hal B. Wallis,United Kingdom,FALSE
1964(18th),The Pumpkin Eater,Jack Clayton,James Woolf,,FALSE
1964(18th),The Train,John Frankenheimer,Jules Bricken,,FALSE
1965(19th),My Fair Lady,George Cukor,Jack L. Warner,United States,TRUE
1965(19th),Hamlet,Grigori Kozintsev,,Soviet Union,FALSE
1965(19th),The Hill,Sidney Lumet,Kenneth Hyman,United Kingdom,FALSE
1965(19th),The Knack ...and How to Get It,Richard Lester,Oscar Lewenstein,,FALSE
1965(19th),Zorba the Greek,Michael Cacoyannis,Michael Cacoyannis,Greece United States,FALSE
1966(20th),Who's Afraid of Virginia Woolf?,Mike Nichols,Ernest Lehman,United States,TRUE
1966(20th),Doctor Zhivago,David Lean,David LeanCarlo Ponti,United Kingdom Italy,FALSE
1966(20th),Morgan – A Suitable Case for Treatment,Karel Reisz,Leon Clore,United Kingdom,FALSE
1966(20th),The Spy Who Came in From The Cold,Martin Ritt,Martin Ritt,,FALSE
1967(21st),A Man For All Seasons,Fred Zinnemann,Fred Zinnemann,United Kingdom,TRUE
1967(21st),Bonnie and Clyde,Arthur Penn,Warren Beatty,United States,FALSE
1967(21st),In the Heat of the Night,Norman Jewison,Walter Mirisch,,FALSE
1967(21st),A Man and a Woman,Claude Lelouch,Claude Lelouch,France,FALSE
1968(22nd),The Graduate,Mike Nichols,Mike Nichols,United States,TRUE
1968(22nd),2001: A Space Odyssey,Stanley Kubrick,Stanley Kubrick,United Kingdom,FALSE
1968(22nd),Oliver!,Carol Reed,John Woolf,,FALSE
1968(22nd),Closely Observed Trains,Jiří Menzel,Dr. Zdenek Oves,Czechoslovakia,FALSE
1969(23rd),Midnight Cowboy,John Schlesinger,Jerome Hellman,United States,TRUE
1969(23rd),Oh! What a Lovely War,Richard Attenborough,"Richard Attenborough, Brian Duffy",United Kingdom,FALSE
1969(23rd),Women in Love,Ken Russell,Larry Kramer,,FALSE
1969(23rd),Z,Costa Gavras,"Jacques Perrin, Ahmed Rachedi",Algeria France,FALSE
