Year,Film,Director(s),Producer(s),Country,Won
1960(14th),The Apartment,Billy Wilder,Billy Wilder,United States,TRUE
1960(14th),The 400 Blows,François Truffaut,"François Truffaut, Georges Charlot",France,FALSE
1960(14th),The Angry Silence,Guy Green,"Richard Attenborough, Bryan Forbes",United Kingdom,FALSE
1960(14th),The Adventure,Michelangelo Antonioni,"Cino Del Duca, Raymond Hakim, Robert Hakim, Amato Pennasilico, Luciano Perugia",Italy,FALSE
1960(14th),La Dolce Vita,Federico Fellini,"Giuseppe Amato, Angelo Rizzoli",Italy France,FALSE
1960(14th),Elmer Gantry,Richard Brooks,Bernard Smith,United States,FALSE
1960(14th),Hiroshima mon amour,Alain Resnais,"Anatole Dauman, Samy Halfon",France Japan,FALSE
1960(14th),Inherit the Wind,Stanley Kramer,Stanley Kramer,United States,FALSE
1960(14th),Let's Make Love,George Cukor,Jerry Wald,,FALSE
1960(14th),Black Orpheus,Marcel Camus,Sacha Gordine,Brazil France,FALSE
1960(14th),Never on Sunday,Jules Dassin,Jules Dassin,Greece United States,FALSE
1960(14th),Saturday Night and Sunday Morning,Karel Reisz,Tony Richardson,United Kingdom,FALSE
1960(14th),Shadows,John Cassavetes,Maurice McEndree,United States,FALSE
1960(14th),Spartacus,Stanley Kubrick,Edward Lewis,,FALSE
1960(14th),The Testament of Orpheus,Jean Cocteau,Jean Thuillier,France,FALSE
1960(14th),The Trials of Oscar Wilde,Ken Hughes,"Irving Allen, Albert R. Broccoli, Harold Huth",United Kingdom,FALSE
1960(14th),Tunes of Glory,Ronald Neame,Colin Lesslie,,FALSE
1961(15th),Ballad of a Soldier,Grigori Chukhrai,M. Chernova,Soviet Union,TRUE
1961(15th),The Hustler,Robert Rossen,Robert Rossen,United States,FALSE
1961(15th),The World of Apu,Satyajit Ray,Satyajit Ray,India,FALSE
1961(15th),The Innocents,Jack Clayton,Jack Clayton,United Kingdom,FALSE
1961(15th),Judgment at Nuremberg,Stanley Kramer,Stanley Kramer,United States,FALSE
1961(15th),The Long and the Short and the Tall,Leslie Norman,Michael Balcon,United Kingdom,FALSE
1961(15th),Rocco and His Brothers,Luchino Visconti,Goffredo Lombardo,Italy,FALSE
