Film,Year,Awards,Nominations,Won
Cool Hand Luke,1967,1,4,FALSE
The Dirty Dozen,1967,1,4,FALSE
A Place to Stand,1967,1,2,FALSE
The Anderson Platoon (La Section Anderson),1967,1,1,FALSE
The Box,1967,1,1,FALSE
Closely Watched Trains (Ostre sledované vlaky),1967,1,1,FALSE
The Redwoods,1967,1,1,FALSE
A Man for All Seasons,1966,6,8,TRUE
Who's Afraid of Virginia Woolf?,1966,5,13,FALSE
Grand Prix,1966,3,3,FALSE
Fantastic Voyage,1966,2,5,FALSE
A Man and a Woman,1966,2,4,FALSE
Born Free,1966,2,2,FALSE
The Fortune Cookie,1966,1,4,FALSE
A Funny Thing Happened on the Way to the Forum,1966,1,1,FALSE
A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1,FALSE
The War Game,1966,1,1,FALSE
Wild Wings,1966,1,1,FALSE
A Year Toward Tomorrow,1966,1,1,FALSE
The Sound of Music,1965,5,10,TRUE
Doctor Zhivago,1965,5,10,FALSE
Darling,1965,3,5,FALSE
Ship of Fools,1965,2,8,FALSE
Cat Ballou,1965,1,5,FALSE
The Great Race,1965,1,5,FALSE
A Patch of Blue,1965,1,5,FALSE
A Thousand Clowns,1965,1,4,FALSE
The Shop on Main Street (Obchod na korze),1965,1,2,FALSE
The Sandpiper,1965,1,1,FALSE
The Eleanor Roosevelt Story,1965,1,1,FALSE
