Film,Year,Awards,Nominations,Won
All Quiet on the Western Front,2022,0,9,NA
Avatar: The Way of Water,2022,0,4,NA
The Banshees of Inisherin,2022,0,8,NA
Elvis,2022,0,8,NA
Everything Everywhere All at Once,2022,0,10,NA
The Fabelmans,2022,0,7,NA
Tár,2022,0,6,NA
Top Gun: Maverick,2022,0,6,NA
Triangle of Sadness,2022,0,3,NA
Women Talking,2022,0,2,NA
